CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
SKU1L001,2014,"679,900","885,600","703,750","627,050","636,550","1,060,000","667,350","666,100","1,119,450","1,471,450","1,297,950","528,850"
SKU1L002,2014,"189,300","253,250","256,700","244,250","267,700","349,050","313,400","315,800","445,000","486,600","442,200","225,900"
SKU1L003,2014,"73,600","81,600","102,000","96,600","113,050","136,850","88,750","95,800","153,600","187,700","187,600","82,400"
SKU1L004,2014,"461,500","534,100","435,300","422,050","356,750","661,800","412,150","511,500","675,100","836,000","896,450","356,500"
SKU1L005,2014,"97,000","119,400","157,500","122,550","127,500","196,700","129,050","162,950","213,500","261,200","238,500","123,150"
SKU1L006,2014,"306,450","295,850","283,250","315,800","306,650","388,900","286,100","329,450","447,400","514,000","613,050","233,800"
SKU1L007,2014,"35,500","40,000","58,000","32,000","52,500","48,000","28,500","43,300","85,000","61,000","92,000","37,150"
SKU1L008,2014,"215,300","205,500","200,100","201,600","183,550","225,150","173,000","225,650","308,350","334,400","344,550","160,800"
SKU1L009,2014, -   ,500, -   , -   ,500, -   , -   ,500, -   ,500,500,500
SKU1L010,2014, -   ,495,"1,287","5,500", -   ,"4,000","3,000",200,500,"3,200","2,000", -   
SKU1L011,2014,"3,550","3,630","4,450","4,000","7,500","3,600","6,400","2,800","4,005","7,061","6,350","2,400"
SKU1L012,2014,"2,645","3,044","2,870","2,808","3,016","3,723","2,510","2,807","6,756","5,323","4,972","2,350"
SKU1L013,2014,-650,"2,020","2,550","3,450","2,040","2,000","5,000","2,020","2,020","2,050","3,501","2,070"
SKU1L014,2014,"8,000","-7,500","3,000","5,985", -   ,"9,000","12,200", -   ,"6,500","3,000","2,050","12,500"
SKU1L015,2014,"1,000","4,000","8,500", -   ,"3,000","1,500","1,000","2,500",500,"2,500","2,000","4,000"
SKU2001,2014, -   , -   ,"5,100", -   ,"5,500","5,500","3,920","7,000","7,250","4,000","8,450","10,000"
SKU2002,2014,"1,136","1,280","1,290","1,040","2,040",700,"2,190",970,"1,580","1,960",985,"1,430"
SKU2003,2014,"37,600","36,175","63,725","42,325","53,539","62,849","71,185","37,356","59,395","104,510","65,525","67,400"
SKU2004,2014,"7,625","7,025","10,050","6,775","7,700","10,500","16,175","11,550","15,500","20,945","12,700","18,575"
SKU2005,2014,"2,400","2,400","1,075","3,525",625,"3,150","1,825","1,250","2,950","4,550","2,425","3,230"
SKU2006,2014,"1,350","1,450","1,300","1,375","1,125","1,775","1,775","2,050","1,550","2,850","3,810",998
SKU2007,2014,210,220,160,500,340,450,260,330,600,870,580,966
SKU2008,2014,40,20,30,100,120,80,-60,130,90,92,90,200
SKU2009,2014,100,10, -   , -   ,330,80,100,110, -   ,670,205, -   
SKU2010,2014,31,30,145,56, -   ,48,27,113,57,52,67,59
SKU2011,2014, -   ,400,400,500, -   , -   ,200,300,100,370,400,200
SKU2012,2014, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
SKU2013,2014,110,260,380,90,-396,510,-93,150,420,170,80,"1,260"
SKU2014,2014, -   , -   ,"5,100", -   ,"5,500","5,500","3,920","7,000","7,250","4,000","8,450","10,000"
SKU2015,2014, -   ,400,400,500, -   , -   ,200,300,100,370,400,200
SKU3001,2014,"100,000","199,000","115,000","75,000","191,500","100,000","120,500","40,000","80,500","207,000","31,000","368,500"
SKU3002,2014,"80,000","120,000","138,500","65,000","177,000","60,000","122,000","24,000","100,000","63,500","13,000","217,000"
